ID	EDAD	INGRESOS	GENERO	ESTADO_CIVIL	NUM_HIJOS	NUM_TARJETAS	MODALIDAD_PAGO	HIPOTECA	PRESTAMOS	RIESGO
100756	44	59944	"m"	"married"	1	2	"monthly"	"y"	0	"V"
100668	35	59692	" "	"married"	1	1	"monthly"	"y"	0	"F"
100418	34	59508	"m"	"married"	1	1	"monthly"	"y"	1	"V"
100416	34	59463	"m"	"married"	0	2	"monthly"	"y"	1	"F"
100590	39	59393	"f"	"married"	0	2	"monthly"	"y"	0	"V"
100657	41	59276	"m"	"married"	1	2	"monthly"	"y"	1	"V"
100702	42	59201	"m"	"married"	0	1	"monthly"	"y"	0	"V"
100319	31	59193	"f"	"married"	1	2	"monthly"	"y"	1	"V"
100666	28	59179	"m"	"married"	1	1	"monthly"	"y"	1	"F"
100389	30	59036	"m"	"married"	1	1	"monthly"	"y"	1	"V"
100758	38	58914	"m"	"married"	0	1	"monthly"	"y"	1	"F"
100695	36	58878	"f"	"married"	1	1	"monthly"	"y"	0	"F"
100698	42	58785	"f"	"married"	0	2	"monthly"	"y"	0	"V"
100769	44	58529	"m"	"married"	0	1	"monthly"	"y"	0	"F"
100376	33	58505	"f"	"married"	0	2	"monthly"	"y"	0	"V"
100796	45	58381	"m"	"married"	1	1	"monthly"	"y"	0	"V"
100414	34	58026	"m"	"married"	0	1	"monthly"	"y"	0	"V"
100354	32	57718	"m"	"married"	1	2	"monthly"	"y"	1	"F"
100452	35	57689	"m"	"married"	1	1	"monthly"	"y"	1	"V"
100567	38	57683	"f"	"married"	1	1	"monthly"	"y"	1	"F"
100728	28	57623	"m"	"married"	1	1	"monthly"	"y"	1	"F"
100725	43	57598	"f"	"married"	1	1	"monthly"	"y"	1	"V"
100665	41	57520	"f"	"married"	1	1	"monthly"	"y"	0	"F"
100730	43	57388	"f"	"married"	0	1	"monthly"	"y"	0	"F"
100766	44	57376	"m"	"married"	0	2	"monthly"	"y"	1	"V"
100524	37	57004	"f"	"married"	1	1	"monthly"	"y"	0	"V"
100412	34	56891	"m"	"married"	1	1	"monthly"	"y"	1	"F"
100374	33	56849	"m"	"married"	1	1	"monthly"	"y"	1	"V"
100566	38	56590	"m"	"married"	0	2	"monthly"	"y"	0	"F"
100591	39	56523	"m"	"married"	1	1	"monthly"	"y"	0	"V"
100421	34	56486	"m"	"married"	0	1	"monthly"	"y"	1	"F"
100670	41	56470	"m"	"married"	0	2	"monthly"	"y"	0	"F"
100379	33	56087	"m"	"married"	1	2	"monthly"	"y"	1	"F"
100292	30	56087	"f"	"married"	0	1	"monthly"	"y"	1	"F"
100326	31	55897	"m"	"married"	1	2	"monthly"	"y"	0	"V"
100497	36	55777	"f"	"married"	1	2	"monthly"	"y"	0	"F"
100568	38	55752	"m"	"married"	0	2	"monthly"	"y"	1	"V"
100294	30	55642	"f"	"married"	1	2	"monthly"	"y"	0	"V"
100570	38	55565	"m"	"married"	1	2	"monthly"	"y"	0	"V"
100347	36	55554	"f"	"married"	0	1	"monthly"	"y"	0	"V"
100425	34	55497	"m"	"married"	1	1	"monthly"	"y"	1	"F"
100494	36	55421	"m"	"married"	0	2	"monthly"	"y"	0	"V"
100592	39	55390	"f"	"married"	0	1	"monthly"	"y"	0	"F"
100601	39	55215	"m"	"married"	0	2	"monthly"	"y"	0	"V"
100700	42	55140	"m"	"married"	1	2	"monthly"	"y"	0	"V"
100563	38	55112	"m"	"married"	1	2	"monthly"	"y"	1	"V"
100486	36	54938	"m"	"married"	0	2	"monthly"	"y"	0	"V"
100348	32	54792	"m"	"married"	1	1	"monthly"	"y"	0	"V"
100672	41	54777	"m"	"married"	1	2	"monthly"	"y"	1	"V"
100450	35	54673	"f"	"married"	1	2	"monthly"	"y"	1	"F"
100629	28	54671	"m"	"married"	0	2	"monthly"	"y"	0	"V"
100386	33	54603	"f"	"married"	1	2	"monthly"	"y"	1	"V"
100757	44	54451	"m"	"married"	0	1	"monthly"	"y"	1	"V"
100488	36	54021	"m"	"married"	1	1	"monthly"	"y"	1	"F"
100383	33	54013	"f"	"married"	0	1	"monthly"	"y"	0	"V"
100770	44	53983	"f"	"married"	1	2	"monthly"	"y"	0	"F"
100795	45	53842	"f"	"married"	0	2	"monthly"	"y"	0	"V"
100415	34	53791	"m"	"married"	0	1	"monthly"	"y"	1	"V"
100597	39	53731	"m"	"married"	0	2	"monthly"	"y"	1	"V"
100794	45	53704	"m"	"married"	1	2	"monthly"	"y"	1	"V"
100755	44	53660	"f"	"married"	1	1	"monthly"	"y"	1	"V"
100390	33	53559	"f"	"married"	1	2	"monthly"	"y"	0	"V"
100345	32	53552	"f"	"married"	0	2	"monthly"	"y"	1	"V"
100753	44	53550	"m"	"married"	1	1	"monthly"	"y"	1	"F"
100492	36	53365	"m"	"married"	0	1	"monthly"	"y"	0	"F"
100694	42	53307	"m"	"married"	0	2	"monthly"	"y"	1	"F"
100448	35	53201	"m"	"married"	0	1	"monthly"	"y"	0	"V"
100384	33	53195	"m"	"married"	1	2	"monthly"	"y"	1	"V"
100630	40	53180	"f"	"married"	1	2	"monthly"	"y"	0	"V"
100381	33	53115	"f"	"married"	0	2	"monthly"	"y"	0	"F"
100761	44	53102	"m"	"married"	1	1	"monthly"	"y"	0	"V"
100350	32	52973	"m"	"married"	1	1	"monthly"	"y"	0	"F"
100352	32	52961	"f"	"married"	1	1	"monthly"	"y"	1	"F"
100385	33	52896	"m"	"married"	0	2	"monthly"	"y"	1	"F"
100626	38	52887	"m"	"married"	0	2	"monthly"	"y"	0	"V"
100768	44	52772	"m"	"married"	1	2	"monthly"	"y"	1	"V"
